;SiteName: Dalby,,,,,,,,,,,,,,,,,,
;Memory: Hourly Data,,,,,,,,,,,,,,,,,,
;Date, Time,MAXIMUM Wind Speed,AVERAGE Wind Speed,STDEV Wind Speed,AVERAGE Wind Direction,AVERAGE Wind Direction DESCRIPTION,S THETA Wind Direction,MAXIMUM Peak Wind Gust,VWSP Inst  Wind Speed,VWDIR Inst  Wind Direction,VWDIR Inst  Wind Direction DESCRIPTION,AVERAGE Relative Humidity,AVERAGE Solar Radiation,TOTAL Rain Gauge,AVERAGE Air Temperature,CURRENT Evaporation,AVERAGE Dew Point,MINIMUM Battery Voltage
1/04/2016,0:00:00,5.7,3.2,0.7,271.6,W,19.7,7.1,3,268.4,W,82.5,0.5,0,15.7,-0.004,12.8,12.94
1/04/2016,1:00:00,5,2.8,1,246.6,WSW,25.2,5.9,2.6,241.4,WSW,84.9,0.5,0,15.7,-0.006,13.1,12.92
1/04/2016,2:00:00,5,3.3,0.7,256.8,WSW,10.2,5.9,3.2,257,WSW,90.5,0.5,0,15,-0.008,13.5,12.9
1/04/2016,3:00:00,4.6,3.4,0.5,253.4,WSW,12.1,5.9,3.3,253.5,WSW,93.4,0.5,0,14.8,-0.01,13.7,12.88
1/04/2016,4:00:00,4.4,3,0.5,272.1,W,24.1,4.7,2.7,271.6,W,96.8,0.5,0,15.3,-0.012,14.8,12.86
1/04/2016,5:00:00,7.6,5.3,1.2,291.3,WNW,6.3,9.5,5.3,290.9,WNW,97.2,0.5,0,15.7,-0.01,15.2,12.84
1/04/2016,6:00:00,4.8,3.8,0.4,289.3,WNW,6.3,5.9,3.8,289.3,WNW,98.3,0.7,0,15.6,-0.012,15.3,12.81
1/04/2016,7:00:00,10.7,7.2,1.4,280.2,W,7.5,13,7.2,279.6,W,99.1,61,0,16.4,-0.009,16.2,12.82
1/04/2016,8:00:00,12.2,9.1,1.5,250.3,WSW,15.8,16.6,8.8,249.3,WSW,95.2,259.1,0,19.5,0.114,18.6,13.67
1/04/2016,9:00:00,13.7,9.7,2.1,209.5,SSW,18.1,17.8,9.3,211,SSW,84.8,485.5,0,23.3,0.28,20.6,13.81
1/04/2016,10:00:00,12.8,8.3,2.1,184.5,S,38.7,16.6,6.8,187.3,S,72.4,691.8,0,25.8,0.454,20.5,13.79
1/04/2016,11:00:00,13.3,5.9,2.7,188.7,S,78.4,16.6,2.7,192.6,SSW,65.8,550.8,0,27.1,0.409,20.1,13.77
1/04/2016,12:00:00,12,5.4,2.2,149.1,SSE,85,16.6,2.1,82.7,E,55.5,859.2,0,29.2,0.624,19.4,13.79
1/04/2016,13:00:00,11.9,6.8,2.7,139.9,SE,78.2,20.1,3.1,70.9,ENE,50.4,893.3,0,30.5,0.674,19,13.77
1/04/2016,14:00:00,9.8,5.6,2.3,93.6,E,54.7,15.4,4.2,35.6,NE,48.5,705.2,0,31.3,0.564,19.2,13.79
1/04/2016,15:00:00,13.6,5.9,2.5,182.9,S,86.1,17.8,2.2,337.3,NNW,48.9,557.6,0,30.8,0.446,18.8,13.73
1/04/2016,16:00:00,9.1,4.3,1.6,147.8,SSE,85,11.8,1.5,98.5,E,45.7,448.1,0,31.5,0.363,18.4,13.61
1/04/2016,17:00:00,10,5.3,2.2,234,SW,57.8,13,3.8,327,NNW,45.5,239.8,0,30.6,0.221,17.5,13.67
1/04/2016,18:00:00,7,3.2,1.7,302.4,WNW,29.6,8.3,2.9,321.4,NW,48,32.5,0,29.1,0.072,17,13.04
1/04/2016,19:00:00,6.9,2.7,1.6,230,SW,40.4,8.3,2.5,216.1,SW,59.9,0.6,0,25,0.009,16.6,13.02
1/04/2016,20:00:00,8.2,5.7,1.1,207.3,SSW,9.4,10.6,5.6,208.3,SSW,65.8,0.5,0,24.2,0.03,17.4,13
1/04/2016,21:00:00,12.1,8.5,1.7,210.6,SSW,10.8,18.9,8.3,209.6,SSW,68.1,0.5,0,23.6,0.044,17.4,12.98
1/04/2016,22:00:00,12.8,9.2,1.7,203.6,SSW,8.5,16.6,9.1,204.1,SSW,74.9,0.5,0,22.8,0.036,18.1,12.98
1/04/2016,23:00:00,7.3,4.5,0.9,211.5,SSW,16.4,9.5,4.4,211.9,SSW,83.5,0.5,0,20.8,0.003,17.9,12.94
2/04/2016,0:00:00,4.2,2.6,0.7,267.8,W,31.7,4.7,2.3,259.6,W,87.8,0.5,0,19.3,-0.007,17.2,12.94
2/04/2016,1:00:00,4.3,2,1.1,93.1,E,44.9,4.7,1.6,42.8,NE,89.5,0.5,0,18.2,-0.01,16.5,12.92
2/04/2016,2:00:00,4.2,2.7,0.7,287.9,WNW,16.5,4.7,2.6,342.3,NNW,92.8,0.5,0,16.8,-0.01,15.6,12.9
2/04/2016,3:00:00,3.4,1.8,0.9,292.7,WNW,17.3,3.5,1.7,342.2,NNW,94.4,0.5,0,16.4,-0.012,15.5,12.88
2/04/2016,4:00:00,4.1,1.4,1.1,279.2,W,35.7,4.7,1.3,323.8,NW,95.2,0.5,0,15.7,-0.013,14.9,12.86
2/04/2016,5:00:00,2.5,1,0.6,243.6,WSW,65.8,3.5,0.7,282.5,WNW,96.9,0.5,0,15,-0.014,14.5,12.82
2/04/2016,6:00:00,1.7,0.5,0.5,229.9,SW,78,2.4,0.2,291.8,WNW,97.2,0.7,0,14.5,-0.015,14,12.81
2/04/2016,7:00:00,3.1,1.3,0.7,201.5,SSW,44.7,3.5,1,208.6,SSW,98,62.7,0,15,-0.012,14.7,12.81
2/04/2016,8:00:00,6.3,3,1.5,192,SSW,60.2,8.3,1.8,166.3,SSE,92.5,258.7,0,19.5,0.127,18.2,13.71
2/04/2016,9:00:00,10.9,7.6,1.8,145.2,SE,21.5,14.2,7.1,143.9,SE,83.7,478.2,0,22.7,0.279,19.7,13.81
2/04/2016,10:00:00,12.5,9.4,1.7,144.9,SE,24.8,20.1,8.6,145.5,SE,69.4,671,0,25.9,0.444,19.8,13.79
2/04/2016,11:00:00,15.7,10,2.6,131.8,SE,35.5,20.1,8.4,128.9,SE,62.9,812.5,0,28.2,0.573,20.4,13.79
2/04/2016,12:00:00,14.6,7.4,3,124.6,SE,54.5,17.8,5.1,116.5,ESE,59.4,872.8,0,29.9,0.644,21.1,13.79
2/04/2016,13:00:00,14.3,7.4,3,96.6,E,50.9,17.8,5.8,73.9,ENE,53.4,905.8,0,31.9,0.698,21.2,13.79
2/04/2016,14:00:00,13.1,6.9,2.7,175.7,S,71,20.1,3.7,349.4,N,48.7,819,0,32.4,0.646,20.2,13.79
2/04/2016,15:00:00,12.9,6,3,251.5,WSW,61.1,17.8,4.1,300.1,WNW,48,510,0,32.2,0.433,19.8,13.61
2/04/2016,16:00:00,12.1,6.3,2.8,249.5,WSW,52.8,15.4,4.8,313.7,NW,44.5,487.8,0,32.8,0.412,19.1,13.77
2/04/2016,17:00:00,13.3,7.8,3.4,285.9,WNW,44.2,17.8,6.5,309.4,NW,43.2,249.2,0,32.5,0.264,18.4,13.47
2/04/2016,18:00:00,9.9,6,1.7,310.6,NW,19.1,13,5.7,325.7,NW,43.5,45.7,0,31.2,0.117,17.3,13.04
2/04/2016,19:00:00,5.6,3.4,0.8,312.8,NW,15.9,7.1,3.3,336.1,NNW,51.5,0.6,0,27.6,0.025,16.7,13.02
2/04/2016,20:00:00,4.8,3.4,0.8,302.8,WNW,40.8,5.9,2.7,312.8,NW,57.7,0.5,0,25,0.019,16,13
2/04/2016,21:00:00,10.4,3.8,2.4,279.9,W,11.4,15.4,3.7,277.3,W,66.2,0.5,0,22.3,0.013,15.7,12.98
2/04/2016,22:00:00,4.7,3.7,0.6,250,WSW,25.5,5.9,3.3,251.8,WSW,72.1,0.5,0,20.8,0.008,15.6,12.96
2/04/2016,23:00:00,6,3.4,1.3,171.7,S,34.3,7.1,2.9,176,S,76.2,0.5,0,20.8,0.003,16.5,12.94
3/04/2016,0:00:00,3.8,2,0.9,261.1,W,48.9,4.7,1.6,285.4,WNW,79.4,0.5,0,19.3,-0.007,15.7,12.94
3/04/2016,1:00:00,4,1.9,0.9,215.7,SW,72.7,4.7,1,353.3,N,82.1,0.5,0,18.3,-0.008,15.2,12.92
3/04/2016,2:00:00,3.4,1.4,0.9,87.6,E,24.1,3.5,1.3,21.5,NNE,85.5,0.5,0,17.1,-0.011,14.7,12.9
3/04/2016,3:00:00,3.5,1.5,1,248.8,WSW,45.9,4.7,1.1,326.3,NNW,89,0.5,0,16.2,-0.012,14.4,12.86
3/04/2016,4:00:00,4,1.3,1,191.4,SSW,66.6,4.7,0.9,5.8,N,90.2,0.5,0,15.8,-0.012,14.2,12.84
3/04/2016,5:00:00,3.9,1.8,1.1,76.2,ENE,27.8,4.7,1.7,25.5,NNE,93.9,0.5,0,15.5,-0.012,14.5,12.82
3/04/2016,6:00:00,3.7,1.1,1,271,W,42.5,4.7,1,260.2,W,94.8,0.7,0,14.8,-0.014,14,12.81
